time,FailOnTouchObstacleLong-1_pos_x,FailOnTouchObstacleLong-1_pos_y,FailOnTouchObstacleLong-1_pos_z,FailOnTouchObstacleLong-1_rot_x,FailOnTouchObstacleLong-1_rot_y,FailOnTouchObstacleLong-1_rot_z
457.7556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.7667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.7778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.7889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.8,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.8111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.8222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.8333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.8445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.8556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.8667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.8778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.8889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.9,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.9111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.9222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.9333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.9445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.9556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.9667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.9778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.9889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.0,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.0111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.0222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.0334,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.0445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.0556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
458.0667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
