time,FailOnTouchObstacleShort-1_pos_x,FailOnTouchObstacleShort-1_pos_y,FailOnTouchObstacleShort-1_pos_z,FailOnTouchObstacleShort-1_rot_x,FailOnTouchObstacleShort-1_rot_y,FailOnTouchObstacleShort-1_rot_z
217.0444,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.0556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.0667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.0778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.0889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.1,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.1111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.1222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.1333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.1445,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.1556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.1667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.1778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.1889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.2,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.2111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.2222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.2333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.2444,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.2556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.2667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.2778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.2889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.3,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.3111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.3222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.3333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.3445,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.3556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.3667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.3778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.3889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.4,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.4111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.4222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.4333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.4444,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.4556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.4667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.4778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.4889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.5,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.5111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.5222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.5333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.5444,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.5556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.5667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
