time,FailOnTouchObstacleLong-1_pos_x,FailOnTouchObstacleLong-1_pos_y,FailOnTouchObstacleLong-1_pos_z,FailOnTouchObstacleLong-1_rot_x,FailOnTouchObstacleLong-1_rot_y,FailOnTouchObstacleLong-1_rot_z
992.7778,-0.1036,0.7964,0.0294,348.0206,348.0206,348.0206
992.7889,-0.1074,0.7962,0.0312,347.9067,347.9067,347.9067
992.8,-0.1117,0.7961,0.0326,348.0267,348.0267,348.0267
992.8112,-0.1161,0.7961,0.0333,348.4099,348.4099,348.4099
992.8223,-0.1196,0.7962,0.0335,348.9203,348.9203,348.9203
992.8334,-0.1226,0.7963,0.0335,349.2518,349.2518,349.2518
992.8445,-0.1249,0.7964,0.0335,349.6852,349.6852,349.6852
992.8556,-0.1271,0.7965,0.0335,349.8938,349.8938,349.8938
992.8667,-0.1287,0.7964,0.0334,351.1275,351.1275,351.1275
992.8778,-0.1304,0.7959,0.0342,353.3657,353.3657,353.3657
992.8889,-0.132,0.7957,0.0352,353.9103,353.9103,353.9103
992.9,-0.1336,0.7956,0.0359,354.3097,354.3097,354.3097
992.9111,-0.1355,0.7955,0.0363,354.2081,354.2081,354.2081
992.9222,-0.1376,0.7954,0.0371,353.8292,353.8292,353.8292
992.9333,-0.1387,0.7954,0.0371,353.5714,353.5714,353.5714
992.9445,-0.1402,0.7954,0.0373,352.9453,352.9453,352.9453
992.9556,-0.1415,0.7953,0.0379,353.1925,353.1925,353.1925
992.9667,-0.1427,0.7951,0.0387,353.3414,353.3414,353.3414
992.9778,-0.1437,0.7951,0.0392,354.3351,354.3351,354.3351
992.9889,-0.1457,0.795,0.04,356.7991,356.7991,356.7991
993.0,-0.1479,0.7949,0.0408,357.5251,357.5251,357.5251
993.0111,-0.1495,0.7947,0.0413,357.3185,357.3185,357.3185
993.0222,-0.1509,0.7946,0.0414,357.1927,357.1927,357.1927
993.0334,-0.1521,0.7945,0.0414,357.0264,357.0264,357.0264
993.0445,-0.153,0.7942,0.0412,357.0947,357.0947,357.0947
993.0556,-0.1539,0.7939,0.0412,357.3395,357.3395,357.3395
993.0667,-0.1546,0.7936,0.0412,357.4884,357.4884,357.4884
993.0778,-0.1555,0.7934,0.0417,357.2268,357.2268,357.2268
993.0889,-0.156,0.7936,0.0419,356.9997,356.9997,356.9997
993.1,-0.1563,0.7939,0.042,357.0161,357.0161,357.0161
993.1111,-0.1567,0.7941,0.042,357.1105,357.1105,357.1105
993.1223,-0.1568,0.7941,0.0419,356.9544,356.9544,356.9544
993.1334,-0.1565,0.7936,0.0419,356.531,356.531,356.531
993.1445,-0.1562,0.7937,0.0435,356.3694,356.3694,356.3694
993.1556,-0.1558,0.7924,0.0449,356.3653,356.3653,356.3653
993.1667,-0.156,0.7915,0.0459,356.7318,356.7318,356.7318
993.1778,-0.1567,0.7909999999999999,0.0464,357.4888,357.4888,357.4888
993.1889,-0.1578,0.7906,0.0466,358.5483,358.5483,358.5483
993.2,-0.159,0.7901,0.0468,359.6562,359.6562,359.6562
993.2111,-0.1598,0.7902,0.047,0.4108,0.4108,0.4108
993.2222,-0.1602,0.7903,0.047,0.8011,0.8011,0.8011
993.2333,-0.1603,0.7903,0.0471,0.8705,0.8705,0.8705
993.2444,-0.16,0.7902,0.047,0.6261,0.6261,0.6261
993.2556,-0.1597,0.7901,0.0469,0.2905,0.2905,0.2905
993.2667,-0.1594,0.79,0.0469,0.0074,0.0074,0.0074
993.2778,-0.1592,0.79,0.0468,359.8657,359.8657,359.8657
993.2889,-0.1592,0.79,0.0468,359.8535,359.8535,359.8535
993.3,-0.1593,0.79,0.0468,359.9091,359.9091,359.9091
993.3112,-0.1593,0.79,0.0469,359.9735,359.9735,359.9735
993.3223,-0.1594,0.79,0.0469,0.0147,0.0147,0.0147
993.3334,-0.1594,0.79,0.0469,0.0277,0.0277,0.0277
993.3445,-0.1594,0.79,0.0469,0.0222,0.0222,0.0222
993.3556,-0.1594,0.79,0.0469,0.0104,0.0104,0.0104
993.3667,-0.1594,0.79,0.0469,0.0008,0.0008,0.0008
993.3778,-0.1594,0.79,0.0469,-0.0038,-0.0038,-0.0038
993.3889,-0.1594,0.79,0.0469,-0.0041,-0.0041,-0.0041
