time,FailOnTouchObstacleMed-1_pos_x,FailOnTouchObstacleMed-1_pos_y,FailOnTouchObstacleMed-1_pos_z,FailOnTouchObstacleMed-1_rot_x,FailOnTouchObstacleMed-1_rot_y,FailOnTouchObstacleMed-1_rot_z
794.7333,-0.0175,0.7982,-0.0344,355.53,355.53,355.53
794.7444,-0.0205,0.7983,-0.04,355.6577,355.6577,355.6577
794.7556,-0.0239,0.7981,-0.0453,355.1094,355.1094,355.1094
794.7667,-0.0272,0.7979,-0.0507,354.7181,354.7181,354.7181
794.7778,-0.03,0.7978,-0.0563,354.4702,354.4702,354.4702
794.7889,-0.0327,0.7977,-0.0619,354.091,354.091,354.091
794.8,-0.0352,0.7976,-0.0674,353.8281,353.8281,353.8281
794.8112,-0.0375,0.7974,-0.0729,353.416,353.416,353.416
794.8223,-0.0396,0.7973,-0.0784,352.8737,352.8737,352.8737
794.8334,-0.0419,0.7971,-0.0839,352.401,352.401,352.401
794.8445,-0.0444,0.797,-0.08900000000000001,351.82599999999996,351.82599999999996,351.82599999999996
794.8556,-0.047,0.7968,-0.094,351.4206,351.4206,351.4206
794.8667,-0.0495,0.7967,-0.0991,350.9893,350.9893,350.9893
794.8778,-0.0519,0.7966,-0.1038,350.5869,350.5869,350.5869
794.8889,-0.0542,0.7965,-0.1082,349.9951,349.9951,349.9951
794.9,-0.0566,0.7963,-0.1121,349.2635,349.2635,349.2635
794.9111,-0.0591,0.7962,-0.1157,348.8701,348.8701,348.8701
794.9222,-0.062,0.7961,-0.1193,348.4355,348.4355,348.4355
794.9333,-0.0647,0.7959,-0.1222,347.6019,347.6019,347.6019
794.9445,-0.0674,0.7958,-0.1251,347.0849,347.0849,347.0849
794.9556,-0.07,0.7957,-0.1275,346.3585,346.3585,346.3585
794.9667,-0.0726,0.7955,-0.1291,345.6482,345.6482,345.6482
794.9778,-0.0753,0.7955,-0.1309,345.7747,345.7747,345.7747
794.9889,-0.078,0.7954,-0.1321,345.0979,345.0979,345.0979
795.0,-0.0808,0.7954,-0.1335,345.1136,345.1136,345.1136
795.0111,-0.0843,0.7954,-0.1349,344.9604,344.9604,344.9604
795.0222,-0.0882,0.7952,-0.1358,344.3756,344.3756,344.3756
795.0333,-0.0921,0.7951,-0.1363,343.8608,343.8608,343.8608
795.0444,-0.0961,0.7951,-0.1368,343.5989,343.5989,343.5989
795.0556,-0.1002,0.7951,-0.1374,343.4938,343.4938,343.4938
795.0667,-0.1042,0.7951,-0.138,343.8427,343.8427,343.8427
795.0778,-0.1081,0.7952,-0.1386,344.0443,344.0443,344.0443
795.0889,-0.1121,0.7952,-0.1391,344.295,344.295,344.295
795.1,-0.1159,0.7953,-0.1395,344.4781,344.4781,344.4781
795.1111,-0.1196,0.7953,-0.1397,344.4503,344.4503,344.4503
795.1223,-0.1223,0.7949,-0.1396,343.7317,343.7317,343.7317
795.1334,-0.1236,0.7946,-0.1394,344.2759,344.2759,344.2759
795.1445,-0.1241,0.7944,-0.1388,345.03,345.03,345.03
795.1556,-0.1243,0.7943,-0.1378,345.8145,345.8145,345.8145
795.1667,-0.1245,0.7941,-0.1368,346.7244,346.7244,346.7244
795.1778,-0.1249,0.7939,-0.1357,347.7785,347.7785,347.7785
795.1889,-0.1255,0.7937,-0.1344,348.9792,348.9792,348.9792
795.2,-0.1261,0.7934,-0.133,350.347,350.347,350.347
795.2111,-0.1268,0.7929999999999999,-0.1315,351.89,351.89,351.89
795.2222,-0.1276,0.7924,-0.1297,353.6327,353.6327,353.6327
795.2333,-0.1284,0.7918,-0.1278,355.5965,355.5965,355.5965
795.2444,-0.1294,0.7909999999999999,-0.1256,357.8039,357.8039,357.8039
795.2556,-0.1303,0.7903,-0.1236,359.8142,359.8142,359.8142
795.2667,-0.1309,0.7906,-0.1223,1.2127,1.2127,1.2127
795.2778,-0.1313,0.7909999999999999,-0.1213,2.2578,2.2578,2.2578
795.2889,-0.1316,0.7912,-0.1206,3.0084,3.0084,3.0084
795.3,-0.1318,0.7914,-0.1201,3.4863,3.4863,3.4863
795.3112,-0.1319,0.7915,-0.1199,3.6977,3.6977,3.6977
795.3223,-0.1319,0.7915,-0.1199,3.6437,3.6437,3.6437
795.3334,-0.1318,0.7913,-0.1202,3.3234,3.3234,3.3234
795.3445,-0.1315,0.7911,-0.1208,2.7342,2.7342,2.7342
795.3556,-0.1311,0.7908,-0.1217,1.8717,1.8717,1.8717
795.3667,-0.1307,0.7903,-0.1228,0.7258,0.7258,0.7258
795.3778,-0.1303,0.7901,-0.1236,359.8831,359.8831,359.8831
795.3889,-0.1301,0.7902,-0.124,359.4709,359.4709,359.4709
795.4,-0.13,0.7902,-0.124,359.3932,359.3932,359.3932
795.4111,-0.1301,0.7901,-0.1238,359.5806,359.5806,359.5806
795.4222,-0.1303,0.79,-0.1236,359.8553,359.8553,359.8553
795.4333,-0.1303,0.79,-0.1234,0.0501,0.0501,0.0501
795.4445,-0.1304,0.79,-0.1233,0.1147,0.1147,0.1147
795.4556,-0.1304,0.79,-0.1234,0.0949,0.0949,0.0949
795.4667,-0.1303,0.79,-0.1234,0.0394,0.0394,0.0394
795.4778,-0.1303,0.79,-0.1235,-0.0029,-0.0029,-0.0029
795.4889,-0.1303,0.79,-0.1235,359.9815,359.9815,359.9815
795.5,-0.1303,0.79,-0.1235,359.98400000000004,359.98400000000004,359.98400000000004
795.5111,-0.1303,0.79,-0.1235,359.9925,359.9925,359.9925
795.5222,-0.1303,0.79,-0.1235,-0.0006,-0.0006,-0.0006
795.5333,-0.1303,0.79,-0.1234,0.0024,0.0024,0.0024
795.5444,-0.1303,0.79,-0.1234,0.0025,0.0025,0.0025
795.5556,-0.1303,0.79,-0.1235,0.0014,0.0014,0.0014
795.5667,-0.1303,0.79,-0.1235,0.0003,0.0003,0.0003
795.5778,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.5889,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.6,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.6111,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.6223,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.6334,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.6445,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.6556,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.6667,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.6778,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.6889,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.7,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.7111,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.7222,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.7333,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.7444,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.7556,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
795.7667,-0.1303,0.79,-0.1235,-0.0003,-0.0003,-0.0003
