time,FailOnTouchObstacleShort_pos_x,FailOnTouchObstacleShort_pos_y,FailOnTouchObstacleShort_pos_z,FailOnTouchObstacleShort_rot_x,FailOnTouchObstacleShort_rot_y,FailOnTouchObstacleShort_rot_z
430.6444,-0.0775,0.7907,-0.21899999999999997,1.9133,1.9133,1.9133
430.6556,-0.0802,0.7907,-0.22,1.9798,1.9798,1.9798
430.6667,-0.0829,0.7907,-0.2208,2.0923,2.0923,2.0923
430.6778,-0.0856,0.7906,-0.2214,2.2993,2.2993,2.2993
430.6889,-0.0883,0.7906,-0.2221,2.2959,2.2959,2.2959
430.7,-0.0909,0.7906,-0.2225,2.4737,2.4737,2.4737
430.7111,-0.0935,0.7906,-0.2229,2.5266,2.5266,2.5266
430.7222,-0.0962,0.7906,-0.2232,2.5552,2.5552,2.5552
430.7333,-0.099,0.7906,-0.2235,2.5859,2.5859,2.5859
430.7444,-0.1018,0.7905,-0.2238,2.6436,2.6436,2.6436
430.7556,-0.1045,0.7905,-0.2238,2.7466,2.7466,2.7466
430.7667,-0.1071,0.7905,-0.2239,2.8006,2.8006,2.8006
430.7778,-0.1096,0.7904,-0.2239,2.8832,2.8832,2.8832
430.7889,-0.1119,0.7903,-0.2239,2.9919,2.9919,2.9919
430.8,-0.1142,0.7908,-0.2231,3.7677,3.7677,3.7677
430.8111,-0.1165,0.7903,-0.2233,2.9129,2.9129,2.9129
430.8222,-0.1186,0.7906,-0.2226,3.6893,3.6893,3.6893
430.8333,-0.1208,0.7903,-0.2229,2.832,2.832,2.832
430.8445,-0.1228,0.7906,-0.2223,3.6653,3.6653,3.6653
430.8556,-0.1249,0.7903,-0.2225,2.9136,2.9136,2.9136
430.8667,-0.1267,0.7905,-0.2219,3.7473,3.7473,3.7473
430.8778,-0.1285,0.7902,-0.2222,3.076,3.076,3.076
430.8889,-0.1302,0.7901,-0.2223,3.3713,3.3713,3.3713
430.9,-0.1318,0.7901,-0.2223,3.4727,3.4727,3.4727
430.9111,-0.1331,0.7901,-0.2224,3.2937,3.2937,3.2937
430.9222,-0.1341,0.7901,-0.2218,3.395,3.395,3.395
430.9333,-0.1353,0.7901,-0.2217,3.3924,3.3924,3.3924
430.9445,-0.1366,0.7902,-0.2217,3.2841,3.2841,3.2841
430.9556,-0.1377,0.7902,-0.2217,3.2001,3.2001,3.2001
430.9667,-0.1384,0.7902,-0.2216,3.2230000000000003,3.2230000000000003,3.2230000000000003
430.9778,-0.1394,0.7902,-0.2218,3.4111,3.4111,3.4111
430.9889,-0.1402,0.7901,-0.2221,3.3665,3.3665,3.3665
431.0,-0.1406,0.7902,-0.2221,3.3584,3.3584,3.3584
431.0111,-0.1411,0.7902,-0.2221,3.3937,3.3937,3.3937
431.0222,-0.1415,0.7902,-0.2223,3.4167,3.4167,3.4167
431.0334,-0.1418,0.7902,-0.2224,3.4434,3.4434,3.4434
431.0445,-0.1419,0.7902,-0.2226,3.4523,3.4523,3.4523
431.0556,-0.1419,0.7902,-0.2227,3.5307,3.5307,3.5307
431.0667,-0.1418,0.7902,-0.2228,3.5971,3.5971,3.5971
431.0778,-0.1416,0.7902,-0.223,3.6961,3.6961,3.6961
431.0889,-0.1413,0.7902,-0.2232,3.8548,3.8548,3.8548
431.1,-0.1408,0.7902,-0.2235,4.0378,4.0378,4.0378
431.1111,-0.1396,0.7905,-0.2242,3.0715,3.0715,3.0715
431.1222,-0.1389,0.7902,-0.2241,0.7903,0.7903,0.7903
431.1333,-0.1383,0.7901,-0.2242,0.4101,0.4101,0.4101
431.1444,-0.138,0.79,-0.2243,0.19,0.19,0.19
431.1556,-0.1378,0.79,-0.2245,359.9342,359.9342,359.9342
431.1667,-0.1379,0.79,-0.2247,359.8296,359.8296,359.8296
431.1778,-0.1381,0.79,-0.2247,359.8722,359.8722,359.8722
431.1889,-0.1382,0.79,-0.2247,359.9613,359.9613,359.9613
431.2,-0.1382,0.79,-0.2246,0.0189,0.0189,0.0189
431.2111,-0.1382,0.79,-0.2246,0.0315,0.0315,0.0315
431.2222,-0.1382,0.79,-0.2246,0.0191,0.0191,0.0191
431.2333,-0.1381,0.79,-0.2246,0.0026,0.0026,0.0026
431.2444,-0.1381,0.79,-0.2246,359.9931,359.9931,359.9931
431.2556,-0.1381,0.79,-0.2246,359.9916,359.9916,359.9916
431.2667,-0.1381,0.79,-0.2246,-0.0057,-0.0057,-0.0057
431.2778,-0.1381,0.79,-0.2246,-0.0028,-0.0028,-0.0028
431.2889,-0.1381,0.79,-0.2246,-0.0013,-0.0013,-0.0013
431.3,-0.1381,0.79,-0.2246,-0.0012,-0.0012,-0.0012
431.3111,-0.1381,0.79,-0.2246,-0.0017,-0.0017,-0.0017
431.3222,-0.1381,0.79,-0.2246,-0.0022,-0.0022,-0.0022
431.3333,-0.1381,0.79,-0.2246,-0.0024,-0.0024,-0.0024
431.3445,-0.1381,0.79,-0.2246,-0.0024,-0.0024,-0.0024
431.3556,-0.1381,0.79,-0.2246,-0.0023,-0.0023,-0.0023
431.3667,-0.1381,0.79,-0.2246,-0.0022,-0.0022,-0.0022
431.3778,-0.1381,0.79,-0.2246,-0.0022,-0.0022,-0.0022
431.3889,-0.1381,0.79,-0.2246,-0.0022,-0.0022,-0.0022
431.4,-0.1381,0.79,-0.2246,-0.0023,-0.0023,-0.0023
431.4111,-0.1381,0.79,-0.2246,-0.0023,-0.0023,-0.0023
