time,FailOnTouchObstacleMed_pos_x,FailOnTouchObstacleMed_pos_y,FailOnTouchObstacleMed_pos_z,FailOnTouchObstacleMed_rot_x,FailOnTouchObstacleMed_rot_y,FailOnTouchObstacleMed_rot_z
914.6667,-0.0975,0.79,-0.105,0,0,0
914.6778,-0.0975,0.79,-0.105,0,0,0
914.6889,-0.0975,0.79,-0.105,0,0,0
914.7,-0.0975,0.79,-0.105,0,0,0
914.7111,-0.0975,0.79,-0.105,0,0,0
914.7222,-0.0975,0.79,-0.105,0,0,0
914.7333,-0.0975,0.79,-0.105,0,0,0
914.7444,-0.0975,0.79,-0.105,0,0,0
914.7556,-0.0975,0.79,-0.105,0,0,0
914.7667,-0.0975,0.79,-0.105,0,0,0
914.7778,-0.0975,0.79,-0.105,0,0,0
914.7889,-0.0975,0.79,-0.105,0,0,0
914.8,-0.0975,0.79,-0.105,0,0,0
914.8112,-0.0975,0.79,-0.105,0,0,0
914.8223,-0.0975,0.79,-0.105,0,0,0
914.8334,-0.0975,0.79,-0.105,0,0,0
914.8445,-0.0975,0.79,-0.105,0,0,0
914.8556,-0.0975,0.79,-0.105,0,0,0
914.8667,-0.0975,0.79,-0.105,0,0,0
914.8778,-0.0975,0.79,-0.105,0,0,0
914.8889,-0.0975,0.79,-0.105,0,0,0
914.9,-0.0975,0.79,-0.105,0,0,0
914.9111,-0.0975,0.79,-0.105,0,0,0
914.9222,-0.0975,0.79,-0.105,0,0,0
914.9333,-0.0975,0.79,-0.105,0,0,0
914.9445,-0.0975,0.79,-0.105,0,0,0
914.9556,-0.0975,0.79,-0.105,0,0,0
914.9667,-0.0975,0.79,-0.105,0,0,0
914.9778,-0.0975,0.79,-0.105,0,0,0
914.9889,-0.0975,0.79,-0.105,0,0,0
915.0,-0.0975,0.79,-0.105,0,0,0
915.0111,-0.0975,0.79,-0.105,0,0,0
915.0222,-0.0975,0.79,-0.105,0,0,0
915.0333,-0.0975,0.79,-0.105,0,0,0
915.0445,-0.0975,0.79,-0.105,0,0,0
915.0556,-0.0975,0.79,-0.105,0,0,0
915.0667,-0.0975,0.79,-0.105,0,0,0
915.0778,-0.0975,0.79,-0.105,0,0,0
915.0889,-0.0975,0.79,-0.105,0,0,0
915.1,-0.0975,0.79,-0.105,0,0,0
915.1111,-0.0975,0.79,-0.105,0,0,0
915.1223,-0.0975,0.79,-0.105,0,0,0
915.1334,-0.0975,0.79,-0.105,0,0,0
915.1445,-0.0975,0.79,-0.105,0,0,0
915.1556,-0.0975,0.79,-0.105,0,0,0
915.1667,-0.0975,0.79,-0.105,0,0,0
915.1778,-0.0975,0.79,-0.105,0,0,0
915.1889,-0.0975,0.79,-0.105,0,0,0
915.2,-0.0975,0.79,-0.105,0,0,0
915.2111,-0.0975,0.79,-0.105,0,0,0
915.2222,-0.0975,0.79,-0.105,0,0,0
915.2333,-0.0975,0.79,-0.105,0,0,0
915.2444,-0.0975,0.79,-0.105,0,0,0
915.2556,-0.0975,0.79,-0.105,0,0,0
915.2667,-0.0975,0.79,-0.105,0,0,0
915.2778,-0.0975,0.79,-0.105,0,0,0
915.2889,-0.0975,0.79,-0.105,0,0,0
915.3,-0.0975,0.79,-0.105,0,0,0
915.3112,-0.0975,0.79,-0.105,0,0,0
915.3223,-0.0975,0.79,-0.105,0,0,0
915.3334,-0.0975,0.79,-0.105,0,0,0
915.3445,-0.0975,0.79,-0.105,0,0,0
915.3556,-0.0975,0.79,-0.105,0,0,0
915.3667,-0.0975,0.79,-0.105,0,0,0
915.3778,-0.0975,0.79,-0.105,0,0,0
915.3889,-0.0975,0.79,-0.105,0,0,0
